DEPOS_ID,FULL_NAME,STREET,CITY,STATE,ZIP,REP_NUM,
"500","First National Bank in Altus","PO Box 670","Tipton","OK","","22428"
"501","UMB Bank","PO Box 419226","Kansas City","KA","","22307"
"502","Nechanics & Farmers Bank","PO Box 628","Winston-Salem","NC","","22304"
"503","Wachovia","20th & L St NW","Washington","DC","20036","6841"
"504","First United Bank","912 E Independence","Shawnee","OK","","20870"
"505","Security State Bank","","Cheyenne","OK","73628","6843"
"506","Rogers County  Bank","","","","","26224"
"507","Grand Lake","1700 S Lynn Riggs Blvd","Claremore","OK","","31944"
"509","Chase Manhattan Bank","One Lincoln Ctr 5th Floor","Syracuse","NY","13202","6846"
"508","Bank of America","Customer Connection","Dallas","TX","75283-2406","6846"
"510","UMB Bank of Kansas City MO","PO Box 419226","Kansas City","MO","","21348"
"254","BancFirst","PO BOx 489","Lawton","OK","","22349"
"255","Arvest Bank","101 S Mill","Pryor","OK","74361","5018"
"256","BancFirst","Main & Broadway","Oklahoma City","OK","","21476"
"258","The Bank of New York","2430 Ocean Ave","Faremingville","NY","11738","25605"
"257","Fifth Third Bank","105 S York St","Elmhurst","IL","","25605"
"259","Bank One Texas NA","12450 Greenspoint Dr","Houston","TX","","21478"
"260","Ok Federal Credit Union","3900 SE Adams Rd","Bartlesville","OK","","22765"
"262","Comerica Bank","PO Box 75000 MC 2250","Detroit","MI","","22024"
"263","Comerica Bank","PO Box 75000","Detroit","MI","","22025"
"264","1st National Bank","","Choctaw","OK","","22771"
"266","Bank One","111 Monument Cir","Indianapolis","IN","","22027"
"267","Bank of Oklahoma","PO BOx 2300","Tulsa","OK","","21309"
"268","BancFirst","PO Box 489","Lawton","OK","","29346"
"269","Spirit Bank","11217 N May Ave","Oklahoma City","OK","","21310"
"270","Security National Bank","","Enid","OK","","23639"
"272","Bank of Oklahoma","PO Box 24128","Oklahoma City","OK","","22057"
"273","Central National Bank","","Stigler","OK","","23185"
"274","BancFrist","1111 N Lincoln Blvd","Oklahoma City","OK","","21126"
"275","Intrust Bank","100 S Broadway","Moore","OK","","22472"
"276","Bank of Oklahoma","PO Box 24128","Oklahoma City","OK","","21099"
"277","Suntrust","1750 New York Ave NW","Washington","DC","","22825"
"278","Home National Bank","PO Box 1150","Ponca City","OK","","23480"
"280","Union Bank","1001 Manvel","Chandler","OK","","20673"
"281","Local Oklahoma Bank","","","","","4815"
"282","Arvest Bank","4548 E 51st St","Tulsa","OK","","21322"
"283","Fifth Third Bank","337 S Main St","Findlay","OH","","20889"
"284","BancFirst","501 N Main St","Muskogee","OK","","31665"
"285","Peoples State Rank","445 S Lewis","Tulsa","OK","","21102"
"286","Frist Bank & Trust","401 N 7th St","Perry","OK","","23187"
"287","First Bank & Trust Co","PO Box 878","Perry","OK","73077-0878","6945"
"288","Wachovia","10501 Main St","Fairfax","VA","","21103"
"289","Bank of America","3501 N MacArthur","Oklahoma City","OK","","22215"
"290","Tulsa National Bank","PO Box 1051","Tulsa","OK","","7198"
"291","BancFirst","Memorial & Bryant","Edmond","OK","73013","7121"
"292","Bank One","","Oklahoma City","","","7229"
"293","Stillwater National Bank & Tru","PO Box 1988","Stillwater","OK","","11992"
"294","RCB Bank","11633 E 86th St N","Owasso","OK","74055","5012"
"295","Spirit Bank","601 N Main","Bristow","OK","","28425"
"297","Local Oklahoma Bank","PO Box 26020","Oklahoma City","OK","73126-0020","5017"
"298","Tulsa Federal Employees Credit Union","120 W 3rd PO Box 267","Tulsa","OK","74101-0267","5020"
"299","F&M Bank","81st and Memorial","Tulsa","OK","74135","5028"
"300","Local Oklahoma Bank","2210 N Highway 81","Marlow","OK","73055","5048"
"301","Local Oklahoma Bank","2100 S Douglas Blvd","Midwest City","OK","73130","7089"
"302","Weleetka State Bank","PO Box 248","Weleetka","OK","74880","5088"
"303","NBC Bank","PO Box 27","Pawhuska","OK","74056","5108"
"304","Lincoln Nation Bank","PO Box 1678","Oklahoma City","OK","73101","5109"
"305","Lawton City National Bank","5th & D Ave","Lawton","OK","73501","5110"
"306","Landmark Bank","PO Box 250","Tishomingo","OK","73460","5112"
"307","FNB Midwest City","PO Box 10600","Midwest City","OK","","9728"
"308","First State Bank","PO Box 775","Valliant","OK","74764","5128"
"309","BancFirst","9335 S Penn","Oklahoma City","OK","","20891"
"310","Bank One","1200 NW 63rd St","Oklahoma City","OK","","21105"
"311","Bank One NA Oklahoma","PO BOx 260180","Baton Rouge","LA","","20893"
"312","Coppermark B ank","PO Box 25676","Oklahoma City","OK","","22216"
"313","Bank of Oklahoma","PO Box 24128","Oklahoma City","OK","","23026"
"314","Bank of America","PO Box 25189","Oklahoma City","OK","","20862"
"315","First Fidelity Bank","PO Box 82189","Oklahoma City","OK","","20894"
"316","ARVEST Bank","3900 N Lincoln Blvd","Oklahoma City","OK","","20685"
"317","Bank One","PO Box 656","Oklahoma City","OK","","22413"
"318","Bank One, Oklahoma City","PO Box 656","Oklahoma City","OK","73101-0656","5328"
"319","Bank One","PO Box 25848","Oklahoma City","OK","","20863"
"320","BancFirst","PO Box 26788","Oklahoma City","OK","","20864"
"321","Southwestern Bank & Trust","PO Box 19100","Oklahoma City","OK","","22235"
"322","BancFirst Corp","PO Box 26788","Oklahoma City","OK","","21340"
"323","Arkansas Valley State Bank","PO Box 130","Broken Arrow","OK","","22524"
"324","Chase Bank","18 E 15th St `","Edmond","OK","","25786"
"325","Bank One Oklahoma NA","PO Box 25848","Oklahoma City","OK","","20865"
"326","BancFirst","3200 E Memorial","Edmond","OK","","21751"
"327","1st National, Okmulgee","","","","","27964"
"328","NEO Federal Credit Union","PO Box 1244","Miami","OK","","21342"
"329","WIlson County Bank","","","","","20868"
"330","The Bank NA","","McAlester","OK","","31666"
"331","First National Bank","PO Box 448 3rd & Choctaw","McAlester","OK","","22242"
"332","Union National Bank","","Chandler","OK","","22427"
"333","BankFirst - Memorial Rd Branch","700 E Memorial","Oklahoma City","OK","","21175"
"334","SunTrust Bank","1750 New York Avenue, NW","Washington","DC","20006","23966"
"335","Liberty National Bank","PO Box 440","Cache","OK","73527","6787"
"336","Arvest Bank","34th & Peoria","Tulsa","OK","74105","6788"
"337","City National Bank","PO Box 1228","Guymon","OK","73942","6789"
"338","BancFirst of Blaclwell","PO Box 151","Blackwell","OK","74631","6790"
"339","Ameristate Bank","418 W Main St","Antlers","OK","74523","6791"
"340","First Tulsa Federal Credit Union","PO Box 470192","Tulsa","OK","74147","6792"
"341","Central National Bank","PO Box 3448","Enid","OK","73702","6793"
"342","Arvest Bank","101st & Sheridan","Tulsa","OK","74133","6794"
"618","Southwest National Bank","Box 1","Custer","OK","","7382"
"619","Lincoln National Bank","1111 N Lincoln Blvd","Oklahoma City","OK","","7409"
"620","BancFirst","202 W Oklahoma","Guthrie","OK","","7389"
"621","First Bank","","Antlers","OK","","7390"
"622","First Bank & Trust Co","301 W Main","Ardmore","OK","","7391"
"623","Arvest Bank","502 S Main Mall","Tulsa","OK","","7393"
"624","First National Bank","101 E Main","Ada","OK","","7394"
"625","First National Bank of Chickas","","Rush Springs","OK","","7395"
"626","Grand Savings Bank","1022 S Main","Grove","OK","","7396"
"627","First National Ban & Trust","1100 E Main","Weatherford","OK","","7397"
"628","Bank One","PO Box 1","Tulsa","OK","","7398"
"629","Central National Bank","PO Box 340","Poteau","OK","","7408"
"381","Arvest Bank","3900 N Lincoln Blvd","Oklahoma City","OK","","21090"
"382","Bank of America","330 Bush River Rd","Coumbia","SC","29210","6494"
"383","BancFirst","101 N Broadway","Oklahoma City","OK","","21973"
"384","American National Bank & Trust","PO Box 1408","Sapulpa","OK","","28764"
"385","Spirit Bank NA","1315 E Taft","Sapulpa","Ok","","22356"
"386","Spirit Bank","PO Box 1283","Sapulpa","OK","74067","30224"
"387","Bank One","100 N Broadway","Oklahoma City","OK","","21980"
"388","Wachovia Bank","444 N Capitol St NW","Washington","DC","","21308"
"389","Suntrust Bank","1445 New York Ave","Washington","DC","","30385"
"390","Bank of America","730 15th St NW 4th Fl","Washington","DC","","22358"
"391","BancFirst","PO Box 489","Lawton","OK","73502-0489","6505"
"393","Bank of America","","Dallas","TX","","21092"
"394","Bank One","PO Box 92102","Bedford","TX","","22029"
"396","Merrill Lynch","1850 K St NW","Washington","DC","20036","23204"
"395","Bank of America","1501Penn Ave NW","Washington","DC","","23204"
"397","Bank of America","211 N Robinson","Oklahoma City","OK","","21095"
"398","Commun ity Bank","2420 Southwest Blvd","Tulsa","OK","","20840"
"399","BancFirst","PO Box 26788","Oklahoma City","OK","","26872"
"400","Comerica Bank","","Detroit","MI","48275-2250","6530"
"402","Power One Credit Union","12575 US HWY 1","Juno Beach","FL","33408","22032"
"401","Bank of America","2525 PGA Blvd","PBG","FL","","22032"
"403","Bank of Oklahoma","1251 N Alameda","Norman","OK","","22031"
"404","Allegiance Credit Union","4235 N Meridian Ave","Oklahoma City","OK","73157","6533"
"405","BancFirst","PO Box 26788","Oklahoma City","OK","73126","6534"
"406","Central National Bank","324 W Broadway","Enid","OK","","22368"
"407","Stillwater National Bank & Tru","6301 Waterford Blvd Ste 101","Oklahoma City","OK","","22394"
"408","None","","","","","27066"
"411","M & T Bank","","Baltimore","MD","","21719"
"412","Bank One, Indiana","7610 W Washington St","Indianapolis","IN","","21315"
"413","1st State Bank","PO Box 569","Idabel","OK","","23625"
"414","First National Bank of Chickas","3rd St & Chickasha Ave","Chickasha","OK","","23284"
"415","BancFIrst","101 N Broadway","Oklahoma City","OK","","21718"
"416","Wachovia Bank N.A.","1420 Irving St","Rahway","NJ","","21720"
"418","Black Rock Funds","PO Box 9819","Providence","RI","02940","23025"
"417","JP Morgan Chase","4 CMC 18th Fl","Brooklyn","NY","","23025"
"419","Bank of Laverne","PO Box 1147","Laverne","OK","","22059"
"420","MidFirst Bank","PO Box 76149","Oklahoma City","OK","","22060"
"421","Bank of Oklahoma","PO Box 24128","Oklahoma City","OK","73124-0128","6569"
"422","BancFirst","PO Box 1489","Muskogee","OK","","23285"
