TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
"151580","Refunds","Voided refund check"
"151581","Refunds","Voided refund check"
"151582","Other","Not given"
"151588","Interest","CD interest"
"151589","Refunds","Not given"
"151590","Other","Not given"
"151756","Interest",""
"151757","Interest","NONE GIVEN"
"151759","Interest","NONE GIVEN"
"151976","Interest","None Given"
"151978","Interest","None Given"
"152151","Refunds","Use of Copy Machine - refund on rent"
"152152","Refunds","Use of Copy Machine"
"152153","Refunds","Refund of copy machine Rental"
"152154","Interest","Bank Credit"
"152155","Interest",""
"152156","Interest",""
"160299","Other","CONTRIBUTIONS $50 OR LESS"
"152313","Refunds","Voided refund check"
"152868","Other","Not Given"
"153602","Refunds","Refund from ""Friends of Ernest Istook"""
"152959","Interest",""
"152961","Interest",""
"152962","Interest",""
"153073","Interest",""
"153074","Interest",""
"153075","Interest",""
"153235","Interest","Interest earned"
"154539","Other","RENT"
"154543","Other","VOTER FILE PURCHASE"
"154552","Other","VOTER FILE PURCHASE"
"154570","Other","VOTER FILE PURCHASE"
"154575","Other","VOTER FILE  PURCHASE"
"154578","Other","RENT"
"154581","Other","VOTER FILE PURCHASE"
"154583","Other","VOTER FILE PURCHASE"
"154636","Interest",""
"154640","Interest",""
"154643","Interest",""
"154679","Other","NA"
"154683","Other","NA"
"154687","Other","NA"
"154688","Other","NA"
"154690","Other","NA"
"154693","Other","NA"
"154696","Other","NA"
"154699","Other","NA"
"154707","Other","NA"
"154709","Other","NA"
"154710","Other","NA"
"154712","Other","NA"
"154715","Other","NA"
"154717","Other","NA"
"154719","Other","NA"
"154723","Other","NA"
"154724","Other","NA"
"154726","Other","NA"
"154730","Other","NA"
"154734","Other","NA"
"154735","Other","NA"
"154739","Other","NA"
"154743","Other","NA"
"154747","Other","NA"
"154748","Other","NA"
"154752","Other","NA"
"154757","Other","NA"
"154759","Other","NA"
"154761","Other","NA"
"154766","Other","NA"
"154767","Other","NA"
"154771","Other","NA"
"154773","Other","NA"
"154774","Other","NA"
"154799","Other","NA"
"154803","Other","NA"
"154806","Other","NA"
"154809","Other","NA"
"154811","Other","NA"
"154816","Other","NA"
"154819","Other","NA"
"154820","Other","NA"
"154831","Other","NA"
"154834","Other","NA"
"154836","Other","NA"
"154839","Other","NA"
"154845","Other","NA"
"154847","Other","NA"
"154850","Other","NA"
"154852","Other","NA"
"154858","Other","NA"
"154861","Other","NA"
"154863","Other","NA"
"154866","Other","NA"
"154870","Other","NA"
"154877","Other","NA"
"154879","Other","NA"
"154883","Other","NA"
"154885","Other","NA"
"154913","Other","NA"
"154916","Other","NA"
"154897","Other","NA"
"154920","Other","NA"
"154924","Other","NA"
"154930","Other","NA"
"154932","Other","NA"
"154934","Other","NA"
"154936","Other","NA"
"154939","Other","NA"
"154941","Other","NA"
"154943","Other","NA"
"154946","Other","NA"
"154953","Other","NA"
"154956","Other","NA"
"154958","Other","NA"
"154960","Other","NA"
"154963","Other","NA"
"155108","Refunds","Refunded Contribution Check dated 9/24/2004"
"155236","Other","Voided Check for Advertising"
"155306","Interest","December Interst Income"
"155309","Interest","January Interest Income"
"155311","Interest","February Interest Income"
"155771","Interest","Interest on Campaign Checking Account"
"155772","Interest","Interest on Campaign Checking Account"
"155824","Other","NA"
"155827","Other","NA"
"155830","Other","NA"
"155832","Other","NA"
"155836","Other","NA"
"155837","Other","NA"
"155839","Other","NA"
"155841","Other","NA"
"155842","Other","NA"
"155843","Other","NA"
"155844","Other","NA"
"155846","Other","NA"
"155847","Other","NA"
"155848","Other","NA"
"155849","Other","NA"
"155850","Other","NA"
"155851","Other","NA"
"155852","Other","NA"
"155853","Other","NA"
"155854","Other","NA"
"155855","Other","NA"
"155856","Other","NA"
"155857","Other","NA"
"155859","Other","NA"
"155860","Other","NA"
"155861","Other","NA"
"155862","Other","NA"
"155863","Other","NA"
"155864","Other","NA"
"155865","Other","AN"
"155866","Other","NA"
"155867","Other","NA"
"155868","Other","NA"
"155870","Other","NA"
"155871","Other","NA"
"155873","Other","NA"
"155874","Other","UNITEMIZED RECEIPTS"
"155875","Other","NA"
"155886","Other","Voided Check"
"155888","Refunds","Tax Refund"
"155929","Other","Voided Check"
"155930","Other","Receipts of $50 or less"
"156124","Other","Non-OK Activity and $50 or less Receipts"
"157286","Refunds","Of Contribution"
"157912","Refunds","Of Contribution"
